"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/1998","265.24","441.71","441.71","252.40","","-38.43%"
"04/01/1998","430.80","443.48","455.45","417.85","","-3.61%"
"03/01/1998","446.93","423.72","502.36","423.72","","5.77%"
"02/01/1998","422.53","400.45","426.58","385.56","","9.68%"
"01/01/1998","385.25","537.83","565.26","356.78","","-27.57%"
"12/01/1997","531.88","436.90","532.18","425.53","","21.69%"
"11/01/1997","437.07","561.63","588.66","437.07","","-21.81%"
"10/01/1997","558.99","657.13","754.07","519.63","","-14.89%"
"09/01/1997","656.79","620.27","664.77","593.69","","5.59%"
"08/01/1997","622.03","661.80","744.86","622.03","","-5.80%"
"07/01/1997","660.31","544.91","676.68","544.91","","21.31%"
"06/01/1997","544.31","461.91","563.15","460.81","","17.90%"
"05/01/1997","461.69","417.54","476.01","417.54","","10.94%"
"04/01/1997","416.17","388.06","416.17","364.10","","7.27%"
"03/01/1997","387.96","420.82","428.93","380.19","","-7.88%"
"02/01/1997","421.16","347.81","444.69","347.81","","21.13%"
"01/01/1997","347.69","246.98","370.37","246.98","","38.70%"
"12/01/1996","250.68","235.12","250.68","228.76","","7.71%"
"11/01/1996","232.73","219.17","238.09","219.17","","6.60%"
"10/01/1996","218.33","201.12","229.45","196.58","","8.44%"
"09/01/1996","201.34","222.99","222.99","190.45","","-8.33%"
"08/01/1996","219.64","184.71","224.87","184.71","","23.66%"
"07/01/1996","177.61","228.15","262.46","170.19","","-24.09%"
"06/01/1996","233.96","168.30","260.26","154.71","","41.25%"
"05/01/1996","165.64","114.81","185.17","114.81","","43.65%"
"04/01/1996","115.31","84.66","120.31","84.66","","39.69%"
"03/01/1996","82.55","76.09","84.88","72.49","","6.92%"
"02/01/1996","77.21","86.39","88.99","75.98","","-10.10%"
